BRANCH_ID|BRANCH_NAME|NO_KONTRAK|NAMA_CUSTOMER|ANG_KE|OVERDUE|NILAI_PEMBAYARAN|NILAI_ANGSURAN|NILAI_DENDA|TANGGAL_PEMBAYARAN|JAM_PEMBAYARAN|TANGGAL_PEMBUKUAN|PAYMENT_SOURCE|VALDO_CC|FIN_TYPE
0307||030714100580||24|2|1260000|1255000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0307||030714102303||22|0|740000|740000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0307||030714104051||20|2|840000|840000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0307||030714104109||20|3|773000|768000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0307||030714111477||13|2|1008000|950000|58000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030714111671||13|0|374000|374000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0307||030714111126||13|5|666000|650000|16000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030714407218||17|0|489000|484000|5000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030714409388||15|6|600000|548000|52000|2016-01-26|00:00:00|2016-01-25|KASIR|02|
0307||030715102078||10|2|552000|547000|5000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030715103636||8|0|617000|578000|39000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030715108627||2|6|1545000|1500000|45000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030715404379||7|0|1480000|1480000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0307||030613111568||30|5|1029100|1004000|25100|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030714104107||20|5|892000|892000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0307||030714102866||21|1|545000|540000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0307||030714105110||19|6|975000|970000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0307||030714105555||19|2|225000|225000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0307||030714108436||16|5|505000|500000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0307||030715108773||2|5|491000|491000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0307||030715107802||3|6|697000|697000|0|2016-01-26|00:00:00|2016-01-25|KASIR|02|
0307||030715108809||2|3|595000|595000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0307||030715405803||6|2|970000|960000|10000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030713106862||30|1|502000|500000|2000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030714105435||19|2|640000|640000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0307||030714401402||23|2|495000|495000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0307||030714406715||18|2|770000|770000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0307||030714411466||13|0|570000|565000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030815200020||13|2|3318000|3305000|13000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030813103674||32|2|398000|370000|28000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030814101965||22|3|543000|535000|8000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030814105102||19|2|1083000|1078000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030814106664||18|1|583200|545000|38200|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030815102327||9|5|610000|605000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030815101285||11|1|453100|442000|11100|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030815104543||7|0|293000|293000|0|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030815105956||4|1|462000|460000|2000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030815107101||3|0|368000|367000|1000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030815106466||4|3|469000|469000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030815300109||3|3|737000|726000|11000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030813106653||29|7|500000|500000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030814108475||16|6|565000|560000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030814110304||14|1|586000|586000|0|2016-01-26|00:00:00|2016-01-25|KASIR|02|
0308||030815101203||11|1|655000|650000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030815101764||10|2|628000|625000|3000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030815101921||10|2|635000|630000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030815107020||3|0|676000|676000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030815108020||1|7|648000|632000|16000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030813108470||27|1|301000|300000|1000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030814103788||20|6|525000|525000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030814106542||18|2|572000|566000|6000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030815105839||5|2|854000|849000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030815104516||7|0|692000|692000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030815107082||3|0|703000|703000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030813103626||32|5|650000|650000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0308||030813105932||30|2|565000|560000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030813106984||29|5|320000|315000|5000|2016-01-26|00:00:00|2016-01-25|KASIR|02|
0308||030813200045||35|5|3520000|3500000|20000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030814102494||21|7|398000|395000|3000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030814102073||22|0|550000|550000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030814102811||21|0|605000|600000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030814103825||20|1|533000|528000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030814104930||19|5|598000|583000|15000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030814106790||18|1|301000|296000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030814200168||21|1|3826556|3819000|7556|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030815200149||8|2|4283000|4263000|20000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030814102947||21|0|730000|725000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030814108434||16|2|630000|630000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
